postcode,SEIFA_advantage_disadvantage,SEIFA_disadvantage,SEIFA_economic,SEIFA_education_occupation
800,NA,NA,NA,NA
810,NA,NA,NA,NA
812,NA,NA,NA,NA
820,NA,NA,NA,NA
822,NA,NA,NA,NA
828,NA,NA,NA,NA
830,NA,NA,NA,NA
832,NA,NA,NA,NA
835,NA,NA,NA,NA
836,NA,NA,NA,NA
837,NA,NA,NA,NA
838,NA,NA,NA,NA
840,NA,NA,NA,NA
841,NA,NA,NA,NA
845,NA,NA,NA,NA
847,NA,NA,NA,NA
850,NA,NA,NA,NA
852,NA,NA,NA,NA
854,NA,NA,NA,NA
860,NA,NA,NA,NA
862,NA,NA,NA,NA
870,NA,NA,NA,NA
872,NA,NA,NA,NA
880,NA,NA,NA,NA
885,NA,NA,NA,NA
886,NA,NA,NA,NA
2000,5,3,1,5
2007,5,3,1,5
2008,5,4,2,5
2009,5,5,4,5
2010,5,4,3,5
2011,5,4,2,5
2015,5,5,5,5
2016,4,3,2,5
2017,4,1,1,5
2018,4,2,3,4
2019,4,4,4,4
2020,4,3,4,3
2021,5,5,5,5
2022,5,5,4,5
2023,5,5,5,5
2024,5,5,5,5
2025,5,5,5,5
2026,5,5,4,5
2027,5,5,5,5
2028,5,5,5,5
2029,5,5,5,5
2030,5,5,5,5
2031,5,5,4,5
2032,4,3,3,5
2033,5,4,4,5
2034,5,5,4,5
2035,4,4,4,4
2036,4,3,4,4
2037,4,3,2,5
2038,5,5,5,5
2039,5,5,5,5
2040,5,4,4,5
2041,5,5,5,5
2042,5,4,3,5
2043,5,5,4,5
2044,4,4,4,4
2045,5,4,5,5
2046,5,4,5,5
2047,5,5,5,5
2048,5,5,4,5
2049,4,4,4,5
2050,5,5,4,5
2060,5,5,5,5
2061,5,5,4,5
2062,5,5,5,5
2063,5,5,5,5
2064,5,5,4,5
2065,5,5,5,5
2066,5,5,5,5
2067,5,5,5,5
2068,5,5,5,5
2069,5,5,5,5
2070,5,5,5,5
2071,5,5,5,5
2072,5,5,5,5
2073,5,5,5,5
2074,5,5,5,5
2075,5,5,5,5
2076,5,5,5,5
2077,5,4,4,5
2079,5,5,5,5
2080,5,5,5,5
2081,5,5,5,5
2082,5,5,5,5
2083,4,3,4,4
2084,5,5,5,5
2085,5,5,5,5
2086,5,5,5,5
2087,5,5,5,5
2088,5,5,5,5
2089,5,5,5,5
2090,5,5,5,5
2092,5,5,5,5
2093,5,5,5,5
2094,5,5,5,5
2095,5,5,5,5
2096,5,5,5,5
2097,5,5,5,5
2099,4,4,4,4
2100,5,5,5,4
2101,5,5,5,4
2102,5,5,5,5
2103,5,5,5,4
2104,5,5,5,5
2105,5,5,5,5
2106,5,5,5,5
2107,5,5,5,5
2108,5,5,5,5
2109,4,3,1,5
2110,5,5,5,5
2111,5,5,5,5
2112,4,4,4,4
2113,5,4,4,5
2114,5,4,4,5
2115,3,2,2,4
2116,4,3,3,4
2117,4,4,4,4
2118,5,5,5,5
2119,5,5,5,5
2120,5,5,5,5
2121,5,5,5,5
2122,5,4,4,5
2125,5,5,5,5
2126,5,5,5,5
2127,5,5,5,5
2128,3,2,2,3
2130,4,4,3,5
2131,4,4,2,5
2132,4,4,4,5
2133,4,4,4,4
2134,4,3,2,5
2135,5,4,4,5
2136,4,4,4,4
2137,5,5,5,5
2138,5,5,5,5
2140,4,4,3,5
2141,3,2,2,3
2142,2,1,1,3
2143,3,1,2,3
2144,2,1,1,3
2145,4,3,3,4
2146,4,4,4,4
2147,4,3,3,3
2148,3,3,3,2
2150,4,3,1,4
2151,4,4,4,4
2152,4,5,4,4
2153,5,5,5,5
2154,5,5,5,5
2155,5,5,5,5
2156,5,5,5,5
2157,5,5,5,4
2158,5,5,5,5
2159,5,5,5,5
2160,3,2,1,3
2161,2,1,1,2
2162,2,1,1,2
2163,1,1,1,1
2164,3,2,3,1
2165,1,1,1,1
2166,1,1,1,1
2167,4,4,4,4
2168,2,1,1,1
2170,3,2,3,3
2171,4,4,5,3
2172,5,5,5,5
2173,5,5,5,4
2174,1,1,1,1
2175,4,4,5,3
2176,3,2,4,2
2177,2,1,2,1
2178,4,4,5,3
2179,3,3,4,1
2190,2,1,2,2
2191,3,2,3,4
2192,3,1,2,3
2193,4,4,4,4
2194,3,1,1,3
2195,1,1,1,3
2196,2,1,2,2
2197,2,1,2,2
2198,4,4,5,3
2199,2,1,2,2
2200,2,1,1,3
2203,4,3,3,5
2204,4,2,2,4
2205,4,2,3,4
2206,4,4,4,4
2207,4,3,4,4
2208,4,3,4,4
2209,4,3,3,4
2210,4,3,3,4
2211,4,4,4,4
2212,3,3,3,3
2213,4,4,4,3
2214,4,5,5,3
2216,4,3,3,4
2217,4,4,3,4
2218,4,3,3,4
2219,4,4,4,4
2220,4,3,3,4
2221,5,5,5,4
2222,4,4,3,4
2223,5,5,4,4
2224,5,5,5,4
2225,5,5,5,5
2226,5,5,5,4
2227,5,5,5,4
2228,4,4,4,4
2229,5,5,5,4
2230,5,5,5,4
2231,4,4,5,2
2232,5,5,5,4
2233,5,5,5,4
2234,5,5,5,4
2250,4,4,3,3
2251,4,4,4,4
2256,3,2,2,2
2257,3,2,2,2
2258,4,4,4,4
2259,3,3,4,1
2260,4,5,5,4
2261,3,2,2,2
2262,2,2,2,1
2263,1,1,1,1
2264,3,3,3,3
2265,3,3,3,4
2267,3,4,3,3
2278,3,4,4,1
2280,3,4,4,3
2281,3,2,3,2
2282,4,4,4,4
2283,3,3,3,2
2284,2,2,2,1
2285,3,3,3,2
2286,2,2,3,1
2287,3,3,3,3
2289,4,4,4,4
2290,3,3,3,3
2291,4,5,4,5
2292,3,3,1,4
2293,4,3,1,4
2294,2,1,1,3
2295,1,1,1,1
2296,3,2,1,4
2297,2,2,1,3
2298,2,2,1,3
2299,3,2,1,4
2300,4,4,2,5
2302,4,3,1,5
2303,3,2,1,4
2304,2,1,1,2
2305,4,4,3,4
